label,area,perimeter,aspect_ratio,circularity,mean_color_b,mean_color_g,mean_color_r
orzo,163.0,55.11,1.62,0.67,94.37,121.3,140.2
orzo,137.5,52.18,1.0,0.63,91.69,111.39,129.18
orzo,155.5,65.84,1.0,0.45,90.64,112.06,130.16
orzo,339.5,100.47,0.92,0.42,90.2,109.94,131.2
orzo,158.5,54.53,0.94,0.67,91.74,112.16,129.65
piselli,275.0,62.77,1.28,0.88,69.97,95.21,99.71
piselli,203.5,54.87,1.19,0.85,75.0,99.57,104.07
fagiolo,964.5,126.12,1.42,0.76,82.06,105.27,128.06
fagiolo,1343.0,146.02,1.49,0.79,81.16,103.57,125.65
fagiolo,832.0,108.91,0.94,0.88,81.63,99.69,117.32
fagiolo,1485.5,148.95,1.02,0.84,80.9,104.26,126.69
lenticchia,199.0,53.46,1.43,0.88,72.77,81.03,98.63
lenticchia,220.0,56.28,1.25,0.87,71.08,77.62,95.09
lenticchia,432.5,79.84,1.27,0.85,73.07,107.45,134.79
lenticchia,544.0,88.43,1.39,0.87,74.0,94.08,110.4
lenticchia,176.5,51.7,1.36,0.83,74.97,81.77,98.22
lenticchia,220.5,55.7,1.25,0.89,66.35,106.69,133.03
lenticchia,196.5,53.7,1.19,0.86,67.0,107.1,133.44
lenticchia,205.0,54.28,1.33,0.87,67.45,108.29,135.25
lenticchia,253.0,60.28,1.24,0.87,93.67,105.84,112.73
